@relation AAPL_Continuous-weka.filters.unsupervised.attribute.Remove-R1

@attribute 30year_x_5year numeric
@attribute 30year_x_Baltic_vel1 numeric
@attribute 30year_x_West_Texas_vel4 numeric
@attribute 30year_vel1_x_5year_vel7 numeric
@attribute 30year_vel2_x_West_Texas_vel2 numeric
@attribute 30year_vel9_x_SP500_acc5 numeric
@attribute 30year_vel11_x_Sugar_vel11 numeric
@attribute 30year_vel11_x_Sugar_acc1 numeric
@attribute 30year_vel12_x_Gold_vel7 numeric
@attribute 30year_acc2_x_Grains_vel7 numeric
@attribute 30year_acc4_x_Copper_vel12 numeric
@attribute 30year_acc4_x_SP500_vel6 numeric
@attribute 30year_acc5_x_Sugar numeric
@attribute 30year_acc6_x_Aluminium_vel9 numeric
@attribute 30year_acc6_x_SPDR_IPD_acc6 numeric
@attribute 5year_x_Grains_acc6 numeric
@attribute 5year_vel2_x_Gold_vel5 numeric
@attribute 5year_vel3_x_Gold_acc5 numeric
@attribute 5year_vel4_x_Copper numeric
@attribute 5year_vel5_x_Baltic_acc6 numeric
@attribute 5year_vel7_x_Baltic_acc4 numeric
@attribute 5year_vel7_x_Gold_vel4 numeric
@attribute 5year_acc2_x_Baltic_acc4 numeric
@attribute 5year_acc4_x_ADM_acc1 numeric
@attribute 5year_acc5_x_Baltic_acc1 numeric
@attribute 5year_acc6_x_Aluminium_vel4 numeric
@attribute 5year_acc6_x_Copper_acc3 numeric
@attribute Aluminium_vel3_x_ADM_vel2 numeric
@attribute Aluminium_vel7_x_West_Texas_acc3 numeric
@attribute Aluminium_vel8_x_Baltic_vel2 numeric
@attribute Aluminium_vel10_x_Copper_vel12 numeric
@attribute Aluminium_vel11_x_West_Texas numeric
@attribute Baltic_vel1_x_SPDR_IPD_vel1 numeric
@attribute Baltic_vel2_x_SP500_acc5 numeric
@attribute Baltic_acc1_x_Grains_vel1 numeric
@attribute Baltic_acc1_x_Grains_vel11 numeric
@attribute Baltic_acc1_x_ADM_acc3 numeric
@attribute Baltic_acc2_x_Gold_acc2 numeric
@attribute Baltic_acc5_x_West_Texas_vel12 numeric
@attribute Copper_x_Grains_vel1 numeric
@attribute Copper_vel8_x_Sugar_acc1 numeric
@attribute Copper_vel10_x_Gold_vel8 numeric
@attribute Copper_vel12_x_Sugar_vel8 numeric
@attribute Copper_acc3_x_Sugar_vel11 numeric
@attribute Gold_x_SP500_acc1 numeric
@attribute Gold_x_SPDR_IPD_vel6 numeric
@attribute Gold_vel1_x_SP500_acc6 numeric
@attribute Gold_vel1_x_West_Texas_acc1 numeric
@attribute Gold_vel1_x_ADM_vel1 numeric
@attribute Gold_vel2_x_Grains_vel1 numeric
@attribute Gold_vel2_x_SP500_acc3 numeric
@attribute Gold_vel2_x_Sugar numeric
@attribute Gold_vel5_x_Grains_vel8 numeric
@attribute Gold_acc1_x_Sugar_acc5 numeric
@attribute Gold_acc1_x_West_Texas_acc2 numeric
@attribute Gold_acc6_x_ADM_vel1 numeric
@attribute Grains_x_SP500_vel9 numeric
@attribute Grains_vel4_x_ADM_acc1 numeric
@attribute Grains_vel5_x_Sugar_vel4 numeric
@attribute Grains_vel5_x_ADM_acc5 numeric
@attribute Grains_vel10_x_Grains_acc2 numeric
@attribute Grains_vel12_x_Sugar_acc6 numeric
@attribute Grains_acc1_x_Sugar_acc6 numeric
@attribute SP500_vel4_x_West_Texas_vel10 numeric
@attribute SP500_vel10_x_West_Texas numeric
@attribute SP500_acc1_x_SPDR_IPD_vel3 numeric
@attribute SP500_acc2_x_SPDR_IPD numeric
@attribute SP500_acc2_x_West_Texas_acc2 numeric
@attribute SPDR_IPD_x_West_Texas_vel12 numeric
@attribute SPDR_IPD_acc1_x_West_Texas_vel3 numeric
@attribute SPDR_IPD_acc6_x_West_Texas_vel3 numeric
@attribute Sugar_acc2_x_West_Texas_acc5 numeric
@attribute Sugar_acc5_x_West_Texas_vel1 numeric
@attribute West_Texas_vel4_x_West_Texas_acc2 numeric
@attribute Future_change numeric

@data
0.13303,0.008631,0.039778,0.296168,0.176457,0.362893,0.512955,0.686308,0.292728,0.351732,0.269183,0.31634,0.039801,0.380614,0.038169,0.073241,0.383726,0.385837,0.046195,0.010899,0.062841,0.499239,0.089025,0.241031,0.020213,0.066703,0.196299,0.273543,0.334571,0.080896,0.494466,0.02292,0.022111,0.058549,0.09314,0.074314,0.024771,0.005629,0.01036,0.082241,0.403231,0.06107,0.37316,0.627114,0.004259,0.00233,0.232134,0.805755,0.719424,0.265549,0.124299,0.016385,0.273805,0.939077,0.406798,0.716262,0.090707,0.497696,0.804304,0.337008,0.578663,0.733856,0.740468,0.073433,0.020391,0.177582,0.230268,0.217807,0.056447,0.10315,0.026344,0.849424,0.551707,0.089835,0.217659
0.13303,0.038277,0.095316,0.573401,0.145719,0.115765,0.136316,0.127314,0.048788,0.083337,0.288289,0.416868,0.002758,0.43956,0.041612,0.029894,0.102712,0.509025,0.030055,0.030518,0.084205,0.155046,0.040775,0.320548,0.024072,0.033584,0.209471,0.073492,0.318583,0.200701,0.383486,0.018506,0.161708,0.063077,0.05343,0.106304,0.011966,0.670915,0.007421,0.021858,0.050508,0.023317,0.065561,0.164473,0.002623,0.000932,0.004111,0.003289,0.023844,0.272009,0.440597,0.00425,0.058439,0.00051,0.000342,0.659677,0.07033,0.397421,0.117587,0.208256,0.159949,0.186526,0.148974,0.106861,0.021196,0.273406,0.137086,0.052254,0.039423,0.135228,0.011376,0.552104,0.023469,0.086748,0.770021
0.077803,0.065586,0.062371,0.048467,0.111162,0.090492,0.189656,0.403143,0.097753,0.078731,0.255818,0.326249,0.003618,0.394934,0.346626,0.022958,0.132462,0.254881,0.026597,0.025973,0.088123,0.296092,0.0721,0.081397,0.169592,0.103289,0.150992,0.082439,0.812572,0.257284,0.608899,0.025372,0.088165,0.041552,0.374594,0.594505,0.21432,0.213637,0.01843,0.035171,0.225965,0.049905,0.17321,0.308443,0.006831,0.01628,0.254039,0.8556,0.31704,0.403409,0.551928,0.008028,0.290156,0.456826,0.254881,0.227585,0.078916,0.168715,0.047932,0.18677,0.570057,0.243995,0.121061,0.110503,0.026901,0.175318,0.242333,0.152929,0.12247,0.201742,0.670834,0.248034,0.3409,0.132922,0.774127
0.141661,0.028145,0.012759,0.635831,0.61433,0.31857,0.072927,0.420123,0.023258,0.421472,0.23848,0.471636,0,0.391788,0.192487,0.014325,0.033021,0.193847,0.03605,0.026127,0.101662,0.101662,0.065611,0.015348,0.140659,0.16444,0.059873,0.440192,0.886254,0.164132,0.398568,0.023405,0.0721,0.080491,0.16,0.239121,0.277216,0.011098,0.003765,0.028777,0.163133,0.012712,0.106726,0.027542,0.000928,0.001535,0.343215,0.003479,0.320025,0.043741,0.017785,0,0.030936,0.11176,0.93069,0.124519,0.085003,0.011452,0.039655,0.333243,0.667651,0.105241,0.046144,0.05935,0.025378,0.084876,0.374357,0.839047,0.042706,0.088734,0.174382,0.11074,0.017363,0.069242,0.320329
0.109272,0.031724,0.018586,0.624167,0.35944,0.240904,0.136885,0.565051,0.021706,0.226674,0.424912,0.552931,0.000824,0.216624,0.13361,0.076203,0.012881,0.079159,0.026184,0.01528,0.050561,0.024409,0.018586,0.15287,0.009019,0.511905,0.274235,0.897331,0.263103,0.542988,0.588036,0.029886,0.167804,0.225282,0.034912,0.038209,0.046452,0.172885,0.008627,0.027322,0.281403,0.014462,0.084193,0.087026,0,0,0.006329,0.038534,0.038614,0.056163,0.013417,0.000156,0.023405,0.01332,0.077122,0.044711,0.084041,0.108345,0.010587,0.164958,0.193761,0.43068,0.444138,0.254435,0.03218,0.153549,0.101767,0.221479,0.084503,0.133609,0.077986,0.006169,0.163933,0.114695,0.564682
0.087706,0.103652,0.000772,0.245445,0.003306,0.252385,0.057605,0.115209,0.034427,0.331968,0.326845,0.478024,0.0037,0.352913,0.104305,0.103521,0.023186,0.084471,0.039971,0.154068,0.035064,0.046752,0.024394,0.258727,0.298656,0.647324,0.17165,0.94068,0.021892,0.765024,0.581201,0.019986,0.023789,0.295422,0.012771,0.429318,0.463703,0.796483,0.00562,0.001644,0.064966,0.030455,0.222643,0.017911,0.005785,0.009622,0.167969,0.454772,0.556468,0.010524,0.121432,0.006072,0.02292,0.203248,0.075567,0.094456,0.078109,0.084189,0.037859,0.444152,0.116381,0.497931,0.069317,0.037383,0.01889,0.378498,0.023338,0.006603,0.026795,0.001189,0.003365,0.078488,0.02631,0.000734,0.989733
0.109272,0.130421,0.010254,0.544371,0.026306,0.423124,0.281386,0.618395,0.037189,0.664589,0.282469,0.312709,0.014013,0.215642,0.066805,0.634066,0.027632,0.058562,0.144808,0.415468,0.04622,0.01883,0.022086,0.341191,0.603333,0.508709,0.121019,0.741699,0.005578,0.669463,0.817949,0.028612,0.391265,0.384266,0.294398,0.863202,0.797781,0.24666,0.02365,0.054303,0.60405,0.03831,0.268606,0.08195,0.001138,0.01127,0.033993,0.018168,0.253187,0.016393,0.035823,0.00172,0.033546,0.775649,0.059097,0.069216,0.101295,0.396384,0.388858,0.829683,0.29487,0.492514,0.107021,0.099979,0.02953,0.088608,0.33373,0.047359,0.067507,0.000177,0.004014,0.109205,0.010625,0.004318,1
0.093098,0.08117,0.069824,0.65634,0.063773,0.24009,0.17633,0.309441,0.038454,0.437053,0.308713,0.418141,0.009546,0.09788,0.028381,0.302232,0.02187,0.054897,0.109921,0.501331,0.250121,0.027386,0.038125,0.61309,0.397396,0.338911,0.040699,0.823919,0.384258,0.369875,0.640834,0.036354,0.572895,0.145491,0.502911,0.634463,0.62076,0.004301,0.202893,0.092845,0.240006,0.031117,0.26482,0.023654,0.011941,0.015027,0.011684,0.027166,0.033187,0.015474,0.01033,0.000675,0.037652,0.075516,0.006831,0.072231,0.114518,0.825419,0.577529,0.706095,0.040562,0.620756,0.558421,0.301051,0.036885,0.708987,0.346091,0.027626,0.228192,0.356556,0.093174,0.042434,0.132572,0.018215,0.887064
0.067109,0.047822,0.046243,0.352044,0.147606,0.102408,0.455877,0.210843,0.064817,0.322391,0.09836,0.191053,0.009327,0.453727,0.090316,0.550673,0.103464,0.199377,0.130394,0.564754,0.465103,0.091917,0.406965,0.334669,0.02739,0.718475,0.224313,0.453583,0.357218,0.634569,0.485653,0.041881,0.021453,0.097399,0.00958,0.064494,0.062335,0.000734,0.281898,0.0238,0.198441,0.096239,0.12295,0.134588,0.02922,0.014875,0.101784,0.004191,0.04251,0.007784,0.026749,0.00307,0.116322,0.530963,0.307433,0.030535,0.09979,0.786389,0.446011,0.174053,0.25796,0.486219,0.006426,0.321037,0.043121,0.124995,0.117867,0.168726,0.169931,0.049054,0.098108,0.26732,0.075086,0.212201,0.950719
0.079732,0.108667,0.075617,0.371891,0.637369,0.375226,0.291223,0.361629,0.098056,0.710472,0.168871,0.213257,0.017709,0.782733,0.43412,0.481007,0.147725,0.153928,0.149092,0.80478,0.662852,0.184982,0.642547,0.224232,0.012291,0.667404,0.651466,0.863558,0.749508,0.867381,0.665715,0.055024,0.545118,0.431692,0.020365,0.019986,0.012143,0.176077,0.227294,0.173104,0.397363,0.221513,0.32239,0.250935,0.004427,0.05047,0.024548,0.056875,0.055146,0.160886,0.071283,0.009993,0.155737,0.060109,0.137522,0.060527,0.126024,0.335988,0.770489,0.106557,0.895884,0.514342,0.457193,0.578136,0.059304,0.03896,0.271017,0.61694,0.126699,0.428454,0.387369,0.608642,0.363994,0.561549,0.291581
